title,company,location,url,date
"Senior NLP/LLM Researcher
Senior NLP/LLM Researcher with verification",DeepKeep,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4406049590/?eBP=CwEAAAGd3UEGpI8pytW1ry9mzrvtfrfIMvJogVCGY129k3NxNS8uRbEf_lz8Lhx-QSki9vsAFK-ISZ-u601MwSGmojMFuwolNVxnfY-lQYWs1vkzeqGBxhvyGRh5KvodFYK2Y2ss6w_dJ-w1MHgoI0OBk3UAWAaKd3Xs8HW6OhQXLRvqfgwj0BGCNxB2h6Q1oNoqwcuOQOaayxpaTsaqQx8tXbSYBrwweBoDn6Xq_KhVeAbwCuqoHdQjQPgHqYSJEjsL1nEmY5r3EaqlFV3O5YObnr6bNIDz-XJeeoFnbkdcnra-QkXbLg0REbqL5dsaxZM7Vu3mg_5K1sRQObfwpQ3VjSOPFqwt9IBT26XoS8DZKiepWMp_rrxLtZi6cYfLlMJyvdfse4AyyY7VSY8bm097gVgpLSRCok0RVx6yaQdrUG4VM4v5SAg-X9eS027NQ1vx7Uv4SMrfYcUT8CqFSjmWgvzg4aFd3w9iiEzJSNOC3bYlbaHkyQ4yH5DqZ8s&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=ROM7N8wzwPnT8EwuuCtwMA%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
"Graph DB Expert
Graph DB Expert",BLeader,"Lod, Center District, Israel (On-site)",https://www.linkedin.com/jobs/view/4406068892/?eBP=CwEAAAGd3UEGpFkpzE_I0KMPPrWZNDnNiWDEnX8eRMn2frhG0zKMZy9QS8LEjPNZvmJWt5Pr4X7ycBJFmQd3RwHLAVQDqNoCb8ScCH50sB-HWTr1AgjwlYKfkjEosnAmOOxuoMeTYWEjMMtYvz0Owt3_Tw8rNdCjYCjElwBAiNFdYo98-u_SCX5hUt-cPQaeoFqsQFn14XPHRLORBuVMh-Aux2iv0ptarjPd--k3ZNJaceLzsupAdwjTJWZaeerEiYUyeZYskt7ufgs51vEJSc9TV9oPXxc2aUKe_OOXXaV5OsZPdsSq6FicrT8yhmwUl_G-_4zWKWO4UNRCyewSFbFPtCx-WwT31x2tFvqGBB2FjLqL-hapCy3_mNTe97c88FG5DPZq208JaGSihpXz6iX8ItxuJk0wiaIkEj0InNHC0zT4igEjpxbWqOcQ-mGjpChcmdzMo0lswA9-SK1F4exLRw1ONCPW6RK12lhKWuLXukswu2sEOqE7UDvA7z9nBQ&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=AFh%2BQ06Zp7pZ%2FlRq%2F1dkJg%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
"Technical Writing Assistant (Remote)
Technical Writing Assistant (Remote)",Jobs Ai,Israel (Remote),https://www.linkedin.com/jobs/view/4408720515/?eBP=CwEAAAGd3UEGpLJUYdxu2kQwaJI8qw_3LZWTGLdl1Dg-p_TyJ8LgIoYq9dv51ZnC1eMbGAE34UxeWnlAleQl_er8WdF52C_p6Jvl0bwc5Q1zHws8Ho4rM2rY6L7ny0oUP8kCOonEATGCn0y3JsbCwWHtx8r60WBAHIRoR_YS2YeJMNDJ-YC9kucBKHOAPc3GlIlkvmetjaPRfiGS_68nzRxiPVQy-8yCudVxY_0Jz2N_4TWxasOfFmzb2DciMk0vhiZMxg7thy-7hcT9zxcAAlgoxXgWPJ94IHAKl-UaUDGxg4Fyb8TsoeUkGAZ40P5ftXefUOQ20PVZzsAcYNXIoI_bsIvhPV-IEaHUs75jkOH4xnMUsu6PkeV35sWYPDxQNhJohn59ZCzTwrCxZjPQneJoXTi7LeSsXW5eLlco8Bg4iM-byUL1GBgSBQeURH48fkoEvdwfInt_oC5VSz4UdHQb0oSuzRONv5kgGjcjBSA&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=mKYvHUN6KeEqLWURiY1srA%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
"Head of Analytics
Head of Analytics",מרטנס | Mertens – מקבוצת מלם תים,"Center District, Israel (On-site)",https://www.linkedin.com/jobs/view/4406969226/?eBP=CwEAAAGd3UEGpDic4QQ7HekD1Gd4vYFfm66NY6FaDPybMdG3HFWzBYNtTLNoqYz4z5I8A0aew2hzCjXi8uKeMU5gRC-BbAB1_CXj_FEwsCOKKhvFq7ugBeSFZgmPxiGBFxcbUR90o5cIMoMbaogXJpeHW7-8_BqvXq58j-8X9KYXLBOGroE68oD2mgpWcvLGV55g9UKbT3SgHTrGevjens5BO-VPUQ8wgrVLosI8xI48wJu13KkE6870aBN8grolSEjLYj_3xwxxP7FC67ow9PLAcNLCVFAlfU1gWwrYwJhxV22WbXxUfnV8lkBfW1XQfi3ODtrnOlFobiwEVi_z9sLWdjPdtQeXgYOnOCvT-O6JphJ4tX022TzCf_6lumX7JBNcdygpB-FD-L6epCF8Y0h_byN2salM61gsw7UojBn8cpMo6F6m8jrZSf2DtyUKGU6kH0K59Y6wrN16KndF3V9Z1LwYk7gckQ6s4yl3_eLKBSQ-&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=sTVPsxu5pP7RsTtjouit1Q%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
"Sales Operations Coordinator
Sales Operations Coordinator with verification",RavenDB,"Hadera, Haifa District, Israel (On-site)",https://www.linkedin.com/jobs/view/4408257626/?eBP=CwEAAAGd3UEGpe-omhxOt5zStxwOxDWf-rl1zkFPLLX7cECnpC4gQg30iTdhO3mI4Cd4Ky9h_Mu3py_5lje4UghSv9coDKp5AH4Xnx_MW4Dpw8uVYJHjvXtTSsknCbaM0fMUmGlp6XCjh4C2WjdMBk8-U7ZN2QdWWHnoRWqV5k_kvdcnQF6o0HxWQbGNa6ie5o6P9i3bZR7N5xUeH-BhkpUBSC9BQ5s00y7bJjsxkOEsuA663L1xN2PWx-9tYJVi2Q4hu3RG-_T7bahHte72pxH5wtb93VMCTqnPWPyNpaOe6tHjS-2GXjc19UJcbn3KahOaWOeUGZQZuDBB3BinnNkKuzWfJWeZG_5Tuew1WtXgiVZudcuUW2W05oVsngypgkvc3KrKIi6Z8xizwTuOYL996d-_1Y5ZInKCrI7HRVMR91IHeBh3SMWiQJGYuGdmkuCm4R-4n9MypYOi6nmxMmQzLhjSIosgP5HSvK_DSQQpl7gJmgVQMrFnVWVICA3oHIl_&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=6Fq0H5%2BeEHQq5aD63XiHvA%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
"Data Annotator (Remote)
Data Annotator (Remote)",Quik Hire Staffing,Israel (Remote),https://www.linkedin.com/jobs/view/4408725385/?eBP=CwEAAAGd3UEGpfCTgzgOQonm-nKzUWQqHY0pFTpGKYsG-ZlLHXM-3xbcAWvXNJOwS-IzUdfw45_2WtQRI-7LXYZlfw8AhjaqosfXd7dxk8USajpPRlne7wMAtDRuWOwh3DMKngdpSJCUnL93WofWTqSnXujELDIN_O2zqchfLg0SjGi3q6bKUhc7pTpSQ58Oo-SsBx4KuA5AbcA5rBIipzlOKg8s6n1QUKEauTlC5-s-Dv9lgIdGmFjAzXYSZwPyjMQO5QEuaA7qAEDr5t4EGR0NrbS7d7qCVyS5vOtfINQ_zE3gPYQtjnEIO60X2f0A1unzvROzI3jE-_Dsigpce9A1oBP85x5sXWWCNbS7AGyM_x0dIIUIVHxrXd4UJv-k_ilu1TsQFlA4Hbe5JZGUXUnfeGoc4wrQ1rWQ6XEk980YvScHUKkdTycS7FhBCTKRL6_WHfJQKjO_3MNL049ukFlDfdpudNcj0Wtks_ArWA903g&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=192kZ1kgoPAU1MsuHQthyA%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
"מהנדס/ת איכות בייצור (קו הרכבות – רכבים ממוגנים)
מהנדס/ת איכות בייצור (קו הרכבות – רכבים ממוגנים) with verification",Plasan,"Sasa, North District, Israel (On-site)",https://www.linkedin.com/jobs/view/4408251429/?eBP=CwEAAAGd3UEGpdYG9171p0ql2lUx-UQ81MQ5siSLdr8ozEqquXGNb5cSaRCXsq8r92OB5SFcxCXrF6o83iYJwvjRXGLE0wePxGj1Nn4hgBA5vsYBQ1HNkcxH_493u9l5GP7g5rFobLlGpoGe0ez_oOxuWrSffEfODHO6seq1bXhPKMCRBUGktFF_3d3A9cyvkfJYn483UtN-DEnaIo0gN64ioB7_g1A_Oq4S8-40UaX34mgFVZQGlD_zDebgjkAZa-pb3WqHYOWlP6OxT-pfSqYfGtLK6_ymDIQYukHnAqfOieOOfPMQ9PfOvWYL8amX-HBjX8vGe7S0MqN3qCuckbi1xfDmHQHJ2JAS8YC_STJjYrw9PIH4aXeDpv9yUe539jqE3LK60qehiBcMUZajMbD9MfXnyL8g_QiExrH2C81vYKjcqzcPboZy98tSRCV_4lIYtWwCGZKIah_Q1db7zmjw70dKO4SmXAxqrxGkp-Vcwa5SU59DkE6e2ayLb9QyeczC&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=Th%2FbVxwUZD21asuWXWOUDA%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
"Ad Operations Manager
Ad Operations Manager",StarHunter,"Tel Aviv District, Israel (Hybrid)",https://www.linkedin.com/jobs/view/4406441719/?eBP=CwEAAAGd3UEGpTPkzoNSojx_yPHG0Vhn9W7ApoRjLwu0s63LWKv5W9tsGmYFRINKGec6BuR3clJAG49x1NkAmhRfVz-JuH179Xk6Enr2NBpT097Eqim9zwnzoklPLo0eVqIhbGDXPx6a5Hbb41SOUYVXAN9Ps4PSN51Yx6LFOLeYPtQbawjgEtWBpUw4RXvPPIGvGHAMp3IZWNSQXPCwrKAg8puz15ddiShbP5I65SW5dUriqYfB9B2qdm1QqA21yykEU7FmgDCBt34nLqHFm-0R4b05IdZ3svN0hTUYWSc1Yx7O9l5zGZzzYqEDmT7vUHcFV1U1SdR-msdB6_DNao8nv7GjoFWVnDaY4GGh2GKOG1tRL7fG9fVXtkhj_voltjbYwFI_S-BcRJUa2HqAInmwWRgwmgIYPywjzE6hHN_2f5BW3NAzgsrv9CiJ4DrNWTao6GWwGgwlNbqbnFhtGI9nC7wkCaJjq7NOne7RhaKyDljJK2FV3NNbVy3hGRVYl2wrew&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=kkx1CKFBaT1BEdfsuD2rTg%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
"Operations Engineer
Operations Engineer with verification",Ben-Gurion University of the Negev,"Be'er Sheva, South District, Israel (On-site)",https://www.linkedin.com/jobs/view/4408224905/?eBP=CwEAAAGd3UEGpfCSZOa1ZBIjPfr9yqaZ6TVw12F-nZIp7Wu7LjWOaFj7rMaJyG-VX4r_MXT4NaT8soTVPCr2kXx-HYgC-fKcR158HX87zU1w1t0i7iDQbJCkBou5j0fsciL1QTUT6ipqlXhTesCpgC2OIgi8BzCv-UzMxj9Q2hCe4_Cx9EescmpDYsyX5zjZd8pM77iHH7eUWf2RpULqmw8gFG8B0xwRizoMmXOwaEwsVNU2pbFIY06b2Pkd8m2Sszs3RjQngY3YhTgy41gpdIQkljeld8XZEX4Zh7LevFaj-5DQA_rcb1C-2cIakPgMvqvShjyw2lf8Aj-METCWKqnIk17JdmMMvZ_a0iBLuHjjJkpd7bQe2ZHeLPHNNFpsAkgQzjnrWNshBpWI5_dNgaWC-zJ3tsuEvAPPzqjL3E8QvLuYThNCUrGuBfNhKDZfFasCjEsKm-O9-ArFuH4bGBRlW_B0mDGmQBwwUwSAk0dZ8g&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=F5Hoo1XMxEzSH50mmqRiLg%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
"חשב/ת כספים
חשב/ת כספים",Rani zim shopping mall,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",https://www.linkedin.com/jobs/view/4406051652/?eBP=CwEAAAGd3UEGpfsYurLL8i4f6KfY4xQAC6CDXE4vWKCL85-UI3pnkzx1I35_DEjkbwqqsFmX_4j6lJEphwn-mYdqBgT6TREmSXGdFsjB2Og1-gPTqGIdWkz-Xqjmhv---Lfri0CBaGkPJQACoRHoMdeSFvrOWJ9Hg44wTYDSKgo4zeyHDmkK8KDobJEj9Va_KBXAU2Ek0BiTL-oRtz9eRHhDyMhdrkQT5BQ9cvlgjWVqkh0rdG_QRpkzKJf-69xQfeGI1B4F0yiwhRfigmGxCe5wP7GY9Eohxf2U2zXzMoWqAK-OKXwhScy03et5hv31myoj7Fx1MraoWxal_skUu4TAr1qgZGtrcY9tmJQ_ux9JODYCUf4usmlI7SjModpjesQPPOWYfQhxH-wFYL9t25ZOKIteIwSzsbU5GD9x08OaIah6I1V53qRYRog4Zs1Q_hyrpuJjdgqhwMCDy_TzfZLF8QXYwj8wmbwRHcoHksQovzZlwx9CWtJVDidnqYn3oFY&refId=TiX%2Fu%2B3ODKULlzR2yMee7g%3D%3D&trackingId=%2FrundFu1MbIrHFEffLKufQ%3D%3D&trk=flagship3_search_srp_jobs,04/30/2026
