title,company,location,date,url,department,workplace_type
ראש לשכה ורכז/ת אדמיניסטרציה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=24610006,מערך משאבי אנוש טכניון,onsite
רכז/ת משאבי אנוש,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=24690006,מערך משאבי אנוש טכניון,onsite
עובד/ת ביקורת פנים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=24917001,ביקורת פנימית,onsite
מהנדסת או מהנדס תקשוב,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=25011004,מערך מחשוב ומערכות מידע,onsite
רכז/ת לשכה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=25517054,מערך קשרי חוץ ופיתוח משאבים,onsite
"רכז/ת שיווק קשרי נוער, תיכונים וצבא",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=25517072,יחידת השיווק,onsite
רכז/ת שיווק וקמפיינים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=25550031,יחידת השיווק,onsite
אדריכל/ית ומנהל/ת תכנון,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=25810074,אגף בינוי ותחזוקה,onsite
"רכז/ת הדרכות בטיחות- משרה זמנית לחל""ד",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=26410108,יחידת הבטיחות ופיקוח סכנות קרינה,onsite
מומחה/ית מולטימדיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=26814002,המרכז לקידום הלמידה וההוראה,onsite
מפתח/ת ומעצב/ת למידה והוראה בדיסציפלינות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=26814004,המרכז לקידום הלמידה וההוראה,onsite
אחראי/ת ניהול זהויות ומאגרי משתמשים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=27911001,מערך מחשוב ומערכות מידע,onsite
מיישמ/ת מערכות מידע לתחום מנהל תלמידים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=27911007,מערך מחשוב ומערכות מידע,onsite
מנהלת או מנהל אגף תשתיות ותפעול,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=27911043,מערך מחשוב ומערכות מידע,onsite
ראש אגף אבטחת מידע וסייבר טכניוני,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=27911048,מערך מחשוב ומערכות מידע,onsite
מפתח/ת DATAWAREHOUSE,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=27914005,מערך מחשוב ומערכות מידע,onsite
מנהל/ת מערכות גיבויים ושרידות עסקית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=27914024,מערך מחשוב ומערכות מידע,onsite
מפתח/ת AI באגף דיגיטל ודאטה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=27917004,מערך מחשוב ומערכות מידע,onsite
תומך/ת ויועץ/ת מחשוב עתיר ביצועים (HPC),הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=27950055,מערך מחשוב ומערכות מידע,onsite
"מנהח""ש ב מדור נסיעות",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=28117017,אגף חשבות,onsite
רכז/ת פדגוגי/ת ביחידה לנוער שוחר מדע,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=50057513,המרכז לחינוך קדם אקדמי,onsite
עובד/ת אחזקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=50067498,הפקולטה לרפואה,onsite
רכז/ת רישום סטודנטים בינלאומיים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=50091122,מועמדים והערכה,onsite
רכז/ת מאגרי מידע וניהול תרומות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-04-28,https://hr.technion.ac.il/positions/?jobid=50100223,מערך קשרי חוץ ופיתוח משאבים,onsite
