title,company,location,date,url,source,job_id,description,requirements
C++ Team Leader,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/cplusplus-team-leader-1/,gotfriends,107515,"חברה בינלאומית המייצרת מערכות שליטה ובקרה מגייסת ר""צ פיתוח C++ מוביל/ה להצטרף לשורותיה. התפקיד כולל ניהול צוות פיתוח כולל אחריות על פיתוח מוצרי ה- Core המפותחים בטכנולוגיות C++/DOT.NET. מעורבות מלאה ב- Design, ארכיטקטורה מקצה לקצה. התפקיד כולל מימוש התוכנה במודלים בסביבת Windows ועוד. מאמינים באיזון בית- עבודה כמפתח לרווחת העובד והצלחה, תנאנאים מעולים למתאימים/מתאימות!",לפחות שנתיים ניסיון בניהול צוות ניסיון מעמיק בפיתוח בטכנולוגיות C++/C# בסביבת Windows ניסיון בכתיבת GUI App ניסיון בעבודה מול SQL ניסיון עם אלגוריתמים מסוג Image processing - יתרון
Senior C++ Engineer,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/senior-cplusplus-engineer-1/,gotfriends,109380,"לחברת סטארט אפ בתחום הסייבר דרוש/ה Senior C++ Engineer. במסגרת התפקיד פיתוח מוצר מורכב בתחום ה-Cyber Security , עבודה בטכנולוגיות ++C וסביבת Kernel, Linux, Windows, עבודה שוטפת מול אנשי הבדיקות וצוות Security Research.",- 5+ שנות ניסיון בפיתוח ב-C++ - ניסיון בפיתוח Multi-Threading - ניסיון עם מערכת הפעלה Windows
Senior Core Software Engineer,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/senior-core-software-engineer/,gotfriends,109394,"חברת Start Up בתחום ה- Storage מחפשת מפתחים/מפתחות ב-C ב- LINUX במערכות מורכבות. במסגרת התפקיד עבודה עם מערכות סטורג' נטוורקינג, וידיאו ועם בעיות של סקייל גבוהה.",-ניסיון של 3 שנים לפחות ב-C/C++ -ניסיון עבודה בסביבת Linux
Junior Computer Vision Developer,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/junior-computer-vision-developer/,gotfriends,110573,סיימתם את התואר במדעי המחשב בהצטיינות ואתם רוצים להשתלב בתפקיד מרתק של פיתוח אלגוריתמים? הזדמנות מעולה לעשות את דריסת הרגל הראשונה בתעשיה בחברה מעולה שמפתחת פלטפורמות בעולם הרכב האוטונומי לחברות גלובליות. התפקיד כולל פיתוח ומימוש אלגוריתמים בעולם הראיה הממוחשבת כולל פיתוח ב-C++ תפקיד מרתק + תנאים מעולים,-תואר ראשון במדעי המחשב
Compiler לחברת הייטק מובילה,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/compiler-לחברת-הייטק-מובילה/,gotfriends,110618,"חברת הייטק מובילה וגלובלית המשמשת כמעבדת innovation עבור חברות רכב אוטונומי מובילות ברחבי העולם. הזדמנות להשתלב בחברת חדשנות טכנולוגית בתפקיד בחזית הטכנולוגיה נשמח לפגוש compiler מנוסה בפיתוח C++ בואו לעבוד על מוצרים מרתקים, עם תנאים מעולים בחברה מובילת שוק",-תואר ראשון במדעי המחשב -שנתיים ניסיון בפיתוח ב-++C
C++ לחברת סטארטאפ במודיעין,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/cplusplus-לחברת-סטארטאפ-במודיעין/,gotfriends,109821,חברת סטארטאפ ממומנת היטב מגייסת מפתח/ת ++C אנחנו חברה צעירה ודינמית. עובדים בחזית הטכנולוגיה. לא מזמן סיימנו סבב גיוס נוסף מוצלח וזה הזמן לצרף להצלחה שלנו מפתח/ת נוסף/ת שמתמחה ב ++C אנחנו עובדים על פלטפורמה בתחום הוידיאו עם הטכנולוגיות המתקדמות ביותר,- 5 שנות ניסיון בפיתוח ++C -CUDA -GPU
Junior SW Embedded Developer למעבדת חדשנות,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/junior-sw-embedded-developer-למעבדת-חדשנות/,gotfriends,110825,"מעבדת חדשנות מגייסת מפתח/ת C++ לעבודה על מוצר חדש בעולם התקשורת. הזדמנות מעולה עבור בוגר/ת תואר ראשון שמעוניין/ת להשתלב בחברה מובילה, לעבוד על מוצר מרתק לצבור ניסיון משמעותי בפיתוח תפקיד שכולל עבודת פיתוח מאפס על מוצר חדש",-תואר ראשון במדעי המחשב / הנדסת חשמל -נכונות לפתח ב- C++
Linux Kernel לחברת Storage ביקנעם,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/linux-kernel-לחברת-storage-ביקנעם/,gotfriends,111313,"חברת סטארטאפ ותיקה מגייסת מפתח/ת Kernel שתרצה להיות חלק מצוות פיתוח שעובד על מוצר בתחום ה- Storage עם תרבות ארגונית מיוחדת, גב כלכלי איתן וצמיחה מרשימה, מדובר באחד מהסטארטאפים המרשימים והחדשנים בתחום ה-Storage נשמח לפגוש מפתח/ת שתרצה להצטרף לצוות קטן ואיכותי ולהיות חלק מסביבת עבודה יחודית ומטפחת",-3 שנות פיתוח ב- C++/ C מעל Linux -Storage/ Cloud הכרות טובה
מפתח/ת ב-D בעולם ה-Storage,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/מפתחת-ב-d-בעולם-ה-storage/,gotfriends,111360,"סטארטאפ של יוצאי יחידות. יזמים בנשמתם, שכבר יודעים דבר אחד או שניים על אקזיטים והקמת חבר מאפס למאה, מחפשים מפתח/ת ב-D בעולם ה-Storage. במסגרת התפקיד פיתוח ב- D מוצר בחזית הטכנולוגיה בעולם ה-Storage. בואו להיות חלק מצוות פיתוח המורכב מטאלנטים חזקים ולפתח את המוצרים של המחר.",-5 שנות ניסיון בפיתוח ++ C -Storage -Linux
Cloud Router Engineer,אנונימי / סודי,Israel,2026-05-06,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/cloud-router-engineer/,gotfriends,110171,חברת סטארטאפ יציבה וממומנת היטב מגייסת Cloud Router Engineer החברה נחשבת ל-waze של עולם התקשורת. מפתחת פתרונות שנחשבים חדשנים ופורצי דרך. היזמים הם דמויות בולטות בתחום. ממומנים היטב נשמח לפגוש מפתח/ת ++C שמחפשות/ים את האתגר הבא שלהם/ן וירצו להצטרף לסטארטאפ ממומן היטב בחזית הטכנולוגיה,-3 שנות ניסיון פיתוח ב-++ C -C יתרון -Linux -Networking
