title,company,location,date,url,department,workplace_type,description,requirements
סדרני.ת,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/63825,,,,
מדענ.ית סגל,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/1003,,,,
עוזר.ת מחקר במחלקה לתשתיות מחקר מדעי החיים,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64069,,,,
עובד.ת כללי  למחלקה למדעי מחשב ומתמטיקה,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64226,,,,
תקציבאי.ת- משרת סטודנט.ית,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64056,,,,
ביוכימאי.ת,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/1002,,,,"חובה
•    דוקטורט בביוכימיה/ביופיזיקה או תחום קרוב + לפחות שנתיים ניסיון לאחר הדוקטורט (כולל פוסדוק)
•    אנגלית ברמת שפת אם.
•    כישורים בין־אישיים מצוינים.
•    יכולת למידה עצמית גבוהה וסקרנות.
•    יכולת מוכחת לכתוב קוד ולנתח נתונים (לדוגמה: MATLAB, ‏C).
•    ניסיון משמעותי במדידות ביופיזיקליות ומיקרוסקופיה.
•    ניסיון בממשקי תוכנה-חומרה
•    ניסיון בניקוי וביטוי חלבונים
•    ניסיון בעבודה במיקרוסקופ
•    ניסיון  בשיבוט
יתרון
•   עבודה מעשית עם מכשירים (מיקרוסקופיה והדפסה תלת־ממדית).
•   ניסיון במיקרו־פבריקציה.
•    מיקרוביולוגיה או ניקוי חלבון.
•    שיבוט DNA
•    תכנות נוסף למשל Python, ‏LabVIEW"
מנהל.ת פרוייקטים בתחום אינסטלציה וגזים באגף בינוי והנדסה,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64115,,,,
חרט.ת כרסמ.ת קונבנציונאלי.ת,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64118,,,,
רכז.ת אדמיניסטרטיבי.ת במחלקה לתקשורת ודוברות,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64142,,,,
מנהל.ת פרויקטי תוכנה באגף טכנולוגיות מידע,מכון ויצמן למדע,רחובות,2026-05-09,https://www.weizmann.ac.il/career/jobs/64147,,,,"לקוח, הבנת תהליכים עסקיים וגיבוש פתרונות טכנולוגיים מתאימים
כתיבה ועדכון של מסמכי אפיון, בהתאם לצרכי הפרויקט
עבודה מול אנשי חוויית משתמש לתכנון מסכים מעורבים בפרויקט והזרימה ביניהם
ליווי של צוותי הפיתוח, צוות ה- QA, ניהול קשר ישיר מול לקוחות לאורך כל חיי הפרויקט,  ליווי העליה לאוויר שלו והטמעתו בקרב הלקוחות.
עבודה בממשקים מרובים במכון ומחוצה לו
כישורים ויכולות:
ניסיון של 5 שנים לפחות בניתוח מערכות – חובה
ניסיון ויכולת מוכחת בניתוח מערכות וניהול פרויקטי תוכנה מורכבים ובסביבה מרובת מערכות
הכרות עם מתודולוגיות Agile ו–Waterfall
יכולת ראייה מערכתית מעולה, סדר ועמידה בלוחות זמנים
יכולת הבנת תהליכים עסקיים וגיבוש אפיון למימוש טכני בכלים טכנולוגים
תואר ראשון בתחום מערכות מידע / תעשייה וניהול / מדעי המחשב - יתרון
שליטה בשפות עברית ואנגלית ברמה גבוהה
אחריות, יוזמה ויכולת עבודה באופן עצמאי ובצוות
יחסי אנוש, תקשורת בינאישית ותודעת שירות ברמה גבוהה"
