title,company,location,date,url,department,workplace_type
Senior Software Engineer בחברת הייטק בתחום השבבים,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/java-developer/153698/,Software Development,Hybrid
Software QA Engineer/Senior בחברת הייטק בתחום השבבים,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/backend-developer/153697/,Software Development,Hybrid
Software Developer בחברת סטארט-אפ דיסקרטי בתחום ה-DefenseTech,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/153661/,Software Development,Hybrid
MLOps Engineer בחברת סטארט-אפ,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/python-developer/153657/,Software Development,onsite
Senior Backend Engineer NodeJS בחברה בתחום ה-Fintech,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/nodejs-developer/153667/,Software Development,Hybrid
Software Engineer בחברת הייטק רווחית,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/backend-developer/153659/,Software Development,Hybrid
Mobile Team Lead בחברה בתחום ה-Security Ad-Tech,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/head-of-mobile-team/153673/,Software Development,Hybrid
Software Team Lead בחברת בינלאומית,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153645/,Software Development,Hybrid
Senior Data Engineer בחברת סטארט-אפ בתחום ה-Fintech,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/data-engineer/153616/,Software Development,Hybrid
Frontend Tech Lead בחברת סטארט-אפ העוסקת בעולמות של Data,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/frontend-developer/153653/,Software Development,Hybrid
CI Infrastructure & Platform בחברת הייטק מצליחה,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/python-developer/153650/,Software Development,Hybrid
Backend Team Lead בחברת סטארט-אפ בתחום Cyber Security ו-Identity Management,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153652/,Software Development,onsite
Backend Developer בחברת סטארט-אפ בתחום Data Infrastructure and Analytics,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/python-developer/153613/,Software Development,Hybrid
Agent Developer Team Lead בחברת Cyber Offensive ייחודית,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153583/,Software Development,onsite
Backend Lead בחברת סטארט-אפ בתחום ה-Fintech & LegalTech,GotFriends,Israel,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153588/,Software Development,Hybrid
פיתוח IOS משולב Android בחברת סטארט-אפ בתחום ה-IoT,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/mobile-programmer/153598/,Software Development,Hybrid
Senior Backend Developer בסטארט-אפ גלובאלי,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/java-developer/153608/,Software Development,Hybrid
Full Stack Engineer- AI Datacenter Orchestration בחברת הייטק מצליחה,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153604/,Software Development,Hybrid
Full Stack Developer בחברת הייטק רפואית בתחום Digital Health ו-Computer Vision,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153606/,Software Development,Hybrid
Founding Engineer בחברת סטארט-אפ בתחום ה-Cyber,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/backend-developer/153563/,Software Development,onsite
Senior Full Stack Engineer בחברת Cyber Offensive ייחודית,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153565/,Software Development,onsite
Agent Developer- OS Security R&D בחברת Cyber Offensive ייחודית,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/153582/,Software Development,onsite
Senior Backend Developer בחברת Cyber Offensive ייחודית,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/backend-developer/153566/,Software Development,onsite
Full-Stack R&D Team Lead בחברת סטארט-אפ פורצת דרך,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153577/,Software Development,Hybrid
Backend Lead בחברת סטארט-אפ שעוסקת בתחום ה-Adtech,GotFriends,Tel Aviv,2026-05-11,https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153569/,Software Development,onsite
