url,title,company,source,department,first_seen,last_seen
https://www.gotfriends.co.il/jobslobby/software/python-developer/153704/,Staff Backend Engineer בחברת סטארט-אפ בתחום AI EdTech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153716/,AI Software Team Lead בחברת סטארט-אפ ביטחונית מבוססת AI ו-Computer Vision,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/ארכיטקט-תוכנה/153723/,Hands-On AI Architect בחברת הייטק גלובלית בתחום ה-Medical,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/153710/,Windows C++ Developer בחברת Cybersecurity,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/net-developer/153728/,Senior Software Engineer בחברת הייטק בתחום השבבים,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153679/,Backend Team Lead בחברת סטארט-אפ בתחום ה-AI,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153696/,Backend Team Lead (C++) בחברת סטארט-אפ בתחום הרחפנים למגזר ביטחוני צבאי,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/frontend-developer/153681/,Frontend Developer בחברת הייטק בתחום ה-AdTech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153700/,Software Engineering Manager בחברת Cloud Security,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/java-developer/153698/,Senior Software Engineer בחברת הייטק בתחום השבבים,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153697/,Software QA Engineer/Senior בחברת הייטק בתחום השבבים,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/cplusplus-programmer/153661/,Software Developer בחברת סטארט-אפ דיסקרטי בתחום ה-DefenseTech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/python-developer/153657/,MLOps Engineer בחברת סטארט-אפ,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/nodejs-developer/153667/,Senior Backend Engineer NodeJS בחברה בתחום ה-Fintech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153659/,Software Engineer בחברת הייטק רווחית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-mobile-team/153673/,Mobile Team Lead בחברה בתחום ה-Security Ad-Tech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153645/,Software Team Lead בחברת בינלאומית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/data-engineer/153616/,Senior Data Engineer בחברת סטארט-אפ בתחום ה-Fintech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/frontend-developer/153653/,Frontend Tech Lead בחברת סטארט-אפ העוסקת בעולמות של Data,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/python-developer/153650/,CI Infrastructure & Platform בחברת הייטק מצליחה,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153652/,Backend Team Lead בחברת סטארט-אפ בתחום Cyber Security ו-Identity Management,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/python-developer/153613/,Backend Developer בחברת סטארט-אפ בתחום Data Infrastructure and Analytics,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153583/,Agent Developer Team Lead בחברת Cyber Offensive ייחודית,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/head-of-development-team/153588/,Backend Lead בחברת סטארט-אפ בתחום ה-Fintech & LegalTech,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/mobile-programmer/153598/,פיתוח IOS משולב Android בחברת סטארט-אפ בתחום ה-IoT,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/java-developer/153608/,Senior Backend Developer בסטארט-אפ גלובאלי,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153604/,Full Stack Engineer- AI Datacenter Orchestration בחברת הייטק מצליחה,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/full-stack-developer/153606/,Full Stack Developer בחברת הייטק רפואית בתחום Digital Health ו-Computer Vision,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
https://www.gotfriends.co.il/jobslobby/software/backend-developer/153563/,Founding Engineer בחברת סטארט-אפ בתחום ה-Cyber,GotFriends,gotfriends,Software Development,2026-05-16,2026-05-16
