title,company,location,date,deadline,url,department,workplace_type,description,requirements
ראש/ת לשכת דיקן-הפקולטה למדעי הטבע (מס' 2026 - 137),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-04-30,2026-05-04,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,,
עובד/ת בית מלאכה-המכונים לחקר המדבר (מס' 2026 - 147),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-04-30,2026-05-03,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,,
"מנהל/ת פרויקטים-מחלקת בינוי חדש-אגף תכנון, בינוי ואחזקה (מס' 2026 - 151)",אוניברסיטת בן-גוריון בנגב,באר שבע,2026-04-30,2026-05-04,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,,
מהנדס/ת מעבדות הוראה ומחקר-מעבדות הוראה-הפקולטה למדעי הבריאות (מס' 2026 - 144),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-04-30,2026-05-04,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,,
מנהל/ת חדשנות דיגיטלית וחווית מועמד/ת-יחידת אתר ותוכן-אגף השיווק (מס' 2026 - 146),אוניברסיטת בן-גוריון בנגב,באר שבע,2026-04-30,2026-05-03,https://bguhr.my.salesforce-sites.com/Gius?mode=external,,onsite,,
