title,company,location,date,url,department,workplace_type,description
שרברב/ית -עובד/ת אחזקה,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48860,אחזקה ולוגיסטיקה,,לבית החולים בילינסון דרוש/ה שרברב/ית במשרה מלאה תאור התפקיד: ביצוע עבודות ותיקונים בצנרת מים וביוב בהתאם להנחיות הממונים פועל/ת כחלק מצוות האחקה המתוכננת הרכבת קבועות סניטריות וחיבורן למערכות יוזמה לפעילויות טכניות שונות כמתחייב מכללי המקצוע ודיווח על עבודות שבוצעו בטפסי מחשב ביצוע תפקידים נוספים לפי דרישות הממונים דרישות התפקיד: בוגר/ת בית ספר מקצועי במקצוע השרברבות ניסיון של 3 שנים בעבודות אינסטלציה כולל הכרת דרישות הורואות למתקני תברואה נסיון בהתקנת צינורות ברזל בהברגה נחושת ופלסטיק נסיון בטיפול בביוב ובשוחות ידיעת השפה העברית כולל כתיבה והגשת דיווח יכולת עבודה בצוות *תינתן עדיפות למועמדים/ות עם מוגבלויות
מזכיר/ה רפואי/ת,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48848,מנהל ומטה,,"לבית החולים בילינסון דרוש/ה מזכיר/ה רפואי/ת במחלקות ב 50% משרה תיאור התפקיד: אחריות לטיפול מנהלי שוטף בתיעוד רפואי של מטופלים מקבלתם למחלקה ועד שחרורם: פתיחת רשומה רפואית, מעקב ועדכון מסמכים ועוד טיפול מנהלי בקבלה, ניוד, העברה ושחרור מטופלים במחלקה: בדיקת מצבת מטופלים, הכנת מסמכים רלוונטיים, תיאומים ועוד קשרי עבודה עם גורמים שונים בבית החולים ומחוצה לו: תיאום פגישות, תיאום תורים, הזמנת שירותים ובדיקות, העברת מידע ומסמכים ועוד סיוע אדמיניסטרטיבי לצוות המחלקה ולמנהל המחלקה מתן מידע ושירות למטופלים ובני משפחותיהם בנושאים מנהליים שונים דרישות התפקיד: תעודת בגרות מלאה תעודת מזכירות רפואית ניסיון מקצועי בעבודת מזכירות בתחום הרפואה - יתרון שליטה מלאה בשפה העברית ידיעת אנגלית כדי קריאת מונחים מקצועיים רלוונטיים תודעת שירות גבוהה תקשורת בין אישית טובה ויכולת עבודה בצוות יכולת ביטוי טובה בכתב ובעל פה *תינתן עדיפות למועמדים/ות עם מוגבלויות"
מזכיר/ה למכון הגנטיקה,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48812,מנהל ומטה,,"לבית החולים בילינסון דרוש/ה מזכיר/ה למכון גנטיקה ב 75% משרה תיאור התפקיד : מתן שירות פרונטלי וטלפוני למטופלים בנושאים אדמיניסטרטיביים טיפול כולל בנושא תורים למרפאה: זימון מטופלים, שינוי מועד, מתן מידע ועוד קבלה אדמיניסטרטיבית של מטופלים המגיעים למרפאה והפנייתם לגורמי הטיפול השונים סיוע למטופל בהשגת המסמכים הנחוצים תיעוד ודיווח פעולות שבוצעו במרפאה במערכות ממוחשבות תקשורת שוטפת עם מטופלים ועם יחידות בתוך מחוץ לבית החולים תיוק, סריקת חומר רפואי ומנהלי לתיק המטופל וביצוע משימות משרדיות נוספות בהתאם לצורך ולהנחיות דרישות התפקיד : תעודת בגרות מלאה תעודת מזכירות רפואית - יתרון שליטה מלאה בשפה העברית ידיעה של שפה נוספות - יתרון שליטה במחשב ובתוכנות Office תודעת שירות גבוהה תקשורת בין אישית טובה ויכולת עבודה בצוות יכולת ביטוי טובה בעל פה ובכתב *תינתן עדיפות למועמדים/ות עם מוגבלויות"
ממונה על בטיחות ובטיחות אש,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48300,אחזקה ולוגיסטיקה,,"לבית החולים בילינסון דרוש/ה ממונה/ת בטיחות ובטיחות אש למשרה מלאה, ימים א -ה, 08:00-16:00 תיאור התפקיד: ייעוץ למעביד בכל הנוגע לחוקים, לתקנות ולתקנים בענייני בטיחות ובטיחות אש, סיוע לו ולאנשי צוות הניהול והתכנון בנוגע לבטיחות גיהות, הנדסת אנוש ובריאות תעסוקתית של העובדים קידום תודעה בנושאים שונים בתחום הבטיחות כולל ביצוע הדרכות פרונטליות או בניית מצגות בנושא בטיחות על היבטיה השונים כל פעילות הנגזרת מהגדרת תפקיד ממונה/ת בטיחות כרשום בתקנות פיקוח על קבלנים בתחומים שונים כגון בניה, אש, בטיחות פיזית וכו' עבודה מול ספקי שירות חיצוניים ביצוע מבדקי בטיחות וסקרי סיכונים ביצוע בקרה על יישום ותיקון ליקויים ביצוע בדיקת נסיבות אירועי בטיחות - חקירת תאונות ו/או כמעט ונפגע השתתפות בישיבות ובוועדות בנושאי בטיחות שונים ביצוע בקרה על נושאי בטיחות שונים המטופלים ע""י גורמי פנים וחיצוניים שונים ביצעו הדרכות בטיחות בנושאים שונים כתיבת הוראות ונהלי בטיחות דרישות התפקיד: תעודת כשירות ממונה/ת בטיחות בעבודה בתוקף - חובה הנדסאי/ת חשמל/כימיה/ אלקטרוניקה וכדומה - חובה הכשרה ממונה/ת בטיחות אש - יתרון הכשרה בנושא גהות - יתרון תעודת כשירות להכנת תוכנית בטיחות - יתרון ניסיון של שנה לפחות בתחום הבטיחות עבודת שטח משולבת עבודה בשיתוף גורמים שונים כגון: אחזקה, גורמים אדמיניסטרטיביים ורפואיים שונים, הנדסה , ספקי שירות חיצוניים ידע ביישומי OFFICE כחלק מתפקיד ממונה/ת בטיחות נדרשת זמינות בשעות שמעבר לשעות העבודה הרגילות במקרה של אירוע חירום או ביצוע פעילות של פרויקטים עתירי סיכון *תינתן עדיפות למועמדים/ות עם מוגבלויות"
ראש צוות משק וניקיון,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48229,אחזקה ולוגיסטיקה,,"למרכז הרפואי בילינסון דרוש/ה ראש צוות משק וניקיון היקף משרה :100% תיאור התפקיד: ניהול, פיקוח ובקרה על סדרי העבודה והניקיון באמצעות סיורים וביקורות הכוונה והדרכת העובדים הכפופים בתחומי המשק והניקיון ניהול יומני עבודה של העובדים הכפופים למשק והניקיון ניהול יומני עבודה של עבודות ניקיון שוטפות ויסודיות טיפול בפניות ובליקויים בזמן אמת, תיעוד ודיווח לגורמים הרלוונטים דרישות התפקיד: 12 שנות לימוד יחסי אנוש טובים ידע מקצועי עדכני(תעודה לניהול משק) כושר ניהול וארגון על צוות עובדים גדול ידיעת השפה העברית על בורייה, שפה נוספת יתרון כושר תכנון כושר הדרכה נכונות לעבודה במשמרות,עדיפות לערב *תינתן עדיפות למועמדים/ות עם מוגבלויות"
מזכיר/ת ועדות רפואיות,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48054,מנהל ומטה,,"לבית החולים בילינסון דרוש/ה מזכיר/ת ועדות רפואיות - במכון להערכה תפקודית היקף המשרה: 50% תיאור התפקיד: אחריות על תיק רפואי של נבדק מיום קבלתו במכון ועד החזרתו למשרד הביטחון ניהול ועדה רפואית - ריכוז מסמכים נדרשים , הקלדת פרוטוקול, סיוע לרופא הוועדה מתן שירות פרונטלי וטלפוני לנבדקים בנושאים אדמיניסטרטיביים סריקת חומר רפואי ומנהלי לתיק הנבדק, ביצוע משימות משרדיות וניהול לו""ז המכון היכרות עם חוק הנכים וספר תקנות הנכים של אגף השיקום במשהב""ט עבודה מול גורמי פנים וחוץ ומתן שירות מקצועי ורגיש לנבדקים, רופאים, עו""ד, משהב""ט כפיפות מקצועית למנהלת האדמיניסטרטיבית של המכון להערכה תפקודית נדרשת גמישות וזמינות גם בשעות אחה""צ כיוון שהמכון פתוח עד 20:00 (נכונות להישאר בשעות הערב עד סיום הועדות) נכונות לעבודה במתכונת גמישה ובהתאם לצרכי הארגון דרישות התפקיד: תודעת שירות גבוהה חוסן נפשי ורגשי עם יכולת עבודה מול פצועי גוף ונפש תעודת בגרות מלאה - חובה, תואר ראשון יתרון שליטה מלאה בשפה העברית, ידיעת שפה נוספת - יתרון שליטה במחשב ובתוכנות Office תקשורת בין אישית טובה ויכולת עבודה בצוות יכולת ביטוי טובה בעל פה ובכתב הקלדה מהירה חובה *תינתן עדיפות למועמדים/ות עם מוגבלויות"
כלכלן/ית,מחוז צפון,נוף הגליל,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=49584,מנהל ומטה,,"למחוז צפון דרוש/ה כלכלן/ית למחלקת בקרה ותיקצוב למשרה זמנית, החלפה לחל""ד ימים ראשון עד חמישי בין השעות 08:00 – 16:00 תיאור התפקיד: בקרה מעקב והתחשבנות כספית מול מספר בתי חולים ריכוז משימות כלל צוותי הבקרה במספר בתי חולים ביקורים, דיונים שוטפים וסגירות שנה בבתי חולים בקרה שוטפת ודיווח להנהלה הראשית ועמידה בלוחות זמנים הכנה והשתתפות בפגישות ודיונים במוסדות שונים בארגון ביצוע משימות נוספות בהתאם להוראות ממונה דרישות התפקיד: תואר ראשון בכלכלה או הנדסה - תואר שני - יתרון שליטה בשפה העברית ואנגלית, כושר הבעה גבוה בכתב ובע""פ יכולת ניתוח נתונים מרובים ודו""חות , יכולת הסקת מסקנות ראייה מערכתית וחשיבה יצירתית יוזמה ויכולת הנעת תהליכים יכולות עבודה עצמאית יחסי אנוש טובים, יכולת השפעה ויכולת עבודה בצוות. יכולת עבודה בסביבה ממוחשבת, שליטה מלאה בתוכנות Office ובכלל זה business object *תינתן עדיפות למועמדים/ות עם מוגבלויות"
מזכיר/ה רפואי/ת,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48151,מנהל ומטה,,"לבית החולים בילינסון דרוש/ה מזכיר/ה רפואי/ת במחלקות למשרה מלאה תיאור התפקיד: אחריות על טיפול מנהלי שוטף בתיעוד רפואי של מטופלים מקבלתם למחלקה ועד שחרורם: פתיחת רשומה רפואית, מעקב ועדכון מסמכים ועוד טיפול מנהלי בקבלה, ניוד, העברה ושחרור מטופלים במחלקה: בדיקת מצבת מטופלים, הכנת מסמכים רלוונטיים, תיאומים ועוד קשרי עבודה עם גורמים שונים בבית החולים ומחוצה לו: תיאום פגישות, תיאום תורים, הזמנת שירותים ובדיקות, העברת מידע ומסמכים ועוד סיוע אדמיניסטרטיבי לצוות המחלקה ולמנהל המחלקה. מתן מידע ושירות למטופלים ובני משפחותיהם בנושאים מנהליים שונים דרישות התפקיד: תעודת בגרות מלאה תעודת מזכירות רפואית ניסיון מקצועי בעבודת מזכירות בתחום הרפואה - יתרון שליטה מלאה בשפה העברית ידיעת אנגלית כדי קריאת מונחים מקצועיים רלוונטיים תודעת שירות גבוהה תקשורת בין אישית טובה ויכולת עבודה בצוות יכולת ביטוי טובה בכתב ובעל פה *תינתן עדיפות למועמדים/ות עם מוגבלויות"
מנהל/ת תוכנית חממה בחדשנות,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=48936,מנהל ומטה,,"לבית החולים בילינסון דרוש/ה מנהל/ת תוכנית חממה בחדשנות ניהול תוכנית להצמחת סטרטאפים מתוך רעיונות של צוות בית החולים משרה מלאה, החלפה לחל""ד תיאור התפקיד: התפקיד משלב עבודה אסטרטגית, ניהול פרויקטים Hands-on ועבודה יומיומית אינטנסיבית עם צוותים קליניים ויזמים הובלת תהליכי איתור צרכים קליניים (Need Finding) יחד עם אנשי צוות רפואי ניהול וליווי פרויקטים יזמיים משלב הרעיון ועד Proof of Concept / לטובת יישום פנימי או מסחור יישום מתודולוגיית BioDesign: אפיון בעיות, בניית קונספטים, ולידציה קלינית ועסקית עבודה שוטפת עם יזמים מתוך בית החולים - חידוד רעיונות, בניית תוכניות עבודה ולוחות זמנים חיבור לגורמים רלוונטיים: הנהלת בית החולים, יחידות מחשוב, רגולציה, רכש, דוברות ויחידות קליניות קידום פיילוטים וניסויים קליניים ראשוניים בתוך בית החולים אחריות על התקדמות הפרויקטים, עמידה ביעדים ותיעוד תהליכים דרישות התפקיד: תואר ראשון (לפחות) בתחומי רפואה/ביולוגיה/מדעי החיים תואר שני במנהל עסקים ( MBA ) - יתרון ניסיון בעבודה בעולם החדשנות הרפואית - במערכת ציבורית או בגוף פרטי ניסיון בניהול פרויקטים הבנה עמוקה של האקוסיסטם הרפואי והחדשנות בתחום הבריאות יחסי אנוש מעולים לעבודה בצוות קטן יכולת התנהלות עצמאית, ראש גדול ויכולת לשאת באחריות יכולת התמודדות עם גופים גדולים ומורכבים- תוך ניווט במורכבויות ארגוניות *תינתן עדיפות למועמדים/ות עם מוגבלויות"
מתאם/ת מחקר,מרכז רפואי רבין,גוש דן,2026-05-10,https://jobs.clalitapps.co.il/clalit/index.html?ci=0&positionId=49202,מנהל ומטה,,"לבית חולים בילינסון דרוש/ה מתאם/ת מחקר למחלקת אונקולוגיה במשרה מלאה תיאור התפקיד: השתתפות בפעילויות השיווק ומו""מ לקבלת מחקרים ליחידה טיפול בתהליך לאישור מחקר ביחידה איתור וגיוס מטופלים פוטנציאלים למחקר, תיאום גיוס ע""י הרופאים, מתן הסבר והכוונה למועמדים למחקר ביצוע הכנות מנהלתיות לקבלת מטופלים לביצוע המחקר: תיאום וזימון תורים, הכנת חומרים וכלים, ארגון תהליך המחקר תפעול שוטף של תהליך המחקר: קבלת מטופלים, תיווך בין גורמים רלוונטים, טיפול בדגימות וכו' ניהול נתוני המחקר: ריכוז והזנת נתונים, הכנת ושליחת דיווחים, מתן מענה לפניות קשרי עבודה עם גורמים רלוונטיים מחוץ לארגון: רשויות רגולטוריות, חברות תרופות, מכוני מחקר אחרים ועוד טיפול שוטף בהיבטים מנהלתיים: כספים ותקציב, מלאי תרופות וציוד, ארכיב מחקר ועוד דרישות התפקיד: השכלה אקדמית במדעי החיים, מדעי הטבע או מדעי הרפואה קורס GCP/CRO ניסיון קודם בתחום תיאום מחקרים - יתרון היכרות עם תקנות ונהלים בתחום - חובה יכולת עבודה בסביבה ממוחשבת אנגלית ברמה גבוהה ידיעת שפה נוספת - יתרון יכולת ארגון, הקפדה על פרטים ודיוק יכולת ביטוי בעל פה ובכתב *תינתן עדיפות למועמדים/ות עם מוגבלויות"
