title,company,location,date,url,department,workplace_type
מזריק.ה למכון לרפואה גרעינית,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2025-11-30,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=195638,רפואה ובריאות,
מתאמ.ת מחקר במערך עיניים,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2025-11-26,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=195571,"מדעים ומו""פ כללי",
אח.ות מחקר/מתאמ.ת מחקר לקרדיולוגיה,המרכז הרפואי תל-אביב (איכילוב),תל אביב,2025-11-20,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=191256,רפואה ובריאות,
מזכיר.ת קשרי חוץ - 50% משרה,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2025-10-29,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=191771,אדמינסטרציה,
פרמדיק.ית לתא לחץ,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2025-10-06,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=192430,רפואה ובריאות,
טבח.ית למערך המזון,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2025-08-10,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=182302,כללי,
מתאמ.ת מחקר לגסטרו- 50% משרה,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2025-07-17,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=190667,"מדעים ומו""פ כללי",
מסייע.ת לחדר ניתוח,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2025-01-05,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=184123,רפואה ובריאות,
מזכיר.ה למגוון מחלקות,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2024-08-13,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=180224,אדמינסטרציה,
כוח עזר למגוון מחלקות,המרכז הרפואי תל-אביב (איכילוב),גוש דן,2024-01-30,https://jobs.tasmc.org.il/Positions/redmatch-apply/redmatch.apply.html?compPositionID=174593,רפואה ובריאות,
