title,company,location,date,url,department,workplace_type,description,requirements
רכז/ת שיווק וקמפיינים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,יחידת השיווק,onsite,,
אדריכל/ית ומנהל/ת תכנון,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,אגף בינוי ותחזוקה,onsite,,
"רכז/ת הדרכות בטיחות- משרה זמנית לחל""ד",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,יחידת הבטיחות ופיקוח סכנות קרינה,onsite,,
מומחה/ית מולטימדיה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,המרכז לקידום הלמידה וההוראה,onsite,,
רכז/ת תשתיות ארגוניות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מערך מחשוב ומערכות מידע,onsite,,
מיישמ/ת מערכות מידע לתחום מנהל תלמידים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מערך מחשוב ומערכות מידע,onsite,,
מנהלת או מנהל אגף תשתיות ותפעול,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מערך מחשוב ומערכות מידע,onsite,,
ראש אגף אבטחת מידע וסייבר טכניוני,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מערך מחשוב ומערכות מידע,onsite,,
מפתח/ת DATAWAREHOUSE,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מערך מחשוב ומערכות מידע,onsite,,
מנהל/ת מערכות גיבויים ושרידות עסקית,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מערך מחשוב ומערכות מידע,onsite,,
מפתח/ת AI באגף דיגיטל ודאטה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מערך מחשוב ומערכות מידע,onsite,,
תומך/ת ויועץ/ת מחשוב עתיר ביצועים (HPC),הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מערך מחשוב ומערכות מידע,onsite,,
רכז/ת מנהלי/ת תכנית ג'ייקובס טכניון,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,תכנית ג'קובס,onsite,,
רכז/ת פדגוגי/ת ביחידה לנוער שוחר מדע,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,המרכז לחינוך קדם אקדמי,onsite,,
"מנהל/ת מרכז הממציאים ע""ש מהודר בטכניון",הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,לשכת משנה בכיר לנשיא,onsite,,
עובד/ת אחזקה,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,הפקולטה לרפואה,onsite,,
רכז/ת רישום סטודנטים בינלאומיים,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מועמדים והערכה,onsite,,
רכז/ת מאגרי מידע וניהול תרומות,הטכניון - מכון טכנולוגי לישראל,חיפה,2026-05-11,https://hr.technion.ac.il/positions/,מערך קשרי חוץ ופיתוח משאבים,onsite,,
