title,company,location,date,url,department,workplace_type
אחראי.ת מכשור מדעי (משרת סטודנט/ית)במחלקה לתשתיות למחקר כימי,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64220,,
רכז.ת אדמיניסטרטיבי.ת למנהלת התרבות (50% משרה),מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64222,,
מומחה/ית לביואינפורמטיקה (חצי משרה) למחקר רב־מערכתי בצמחי מודל,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64231,,
ממונה/ת בטיחות כימיה וגהות תעסוקתית,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64232,,
עובד.ת מעבדה במחלקה למדעי כדור הארץ וכוכבי הלכת,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64240,,
טכנאי.ת קירור,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64236,,
ראש.ת צוות בתחום בתי המלאכה,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64237,,
רכז.ת אדמינ' לסיוע שוטף בתחומי צילומים/תמונות ועוד-תפקיד זמני לחצי שנה,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64239,,
ראש.ת תחום תקשורת פנים ארגונית,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64244,,
רכז.ת אדמניסטרטיבי.ת (50% משרה) למחלקה מדעית,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64219,,
מנהל רצפת ייצור בענף טכנולוגיות ייצור במחלקה לתשתיות מחקר פיזיקה,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64206,,
עובד/ת סוציאלי/ת  לבית הספר למחקר,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64252,,
ראש ענף יישומים באגף טכנולוגיות מידע,מכון ויצמן למדע,רחובות,2026-04-28,https://www.weizmann.ac.il/career/jobs/64256,,
