title,company,location,date,url,department,workplace_type,level,source
ראש/ת צוות דיווח ובקרה - הרשות למחקר ופיתוח,HUJI Career,ירושלים,2026-04-27,https://hujicareer.co.il/jobs/%d7%a8%d7%90%d7%a9-%d7%aa-%d7%a6%d7%95%d7%95%d7%aa-%d7%93%d7%99%d7%95%d7%95%d7%97-%d7%95%d7%91%d7%a7%d7%a8%d7%94-%d7%94%d7%a8%d7%a9%d7%95%d7%aa-%d7%9c%d7%9e%d7%97%d7%a7%d7%a8-%d7%95%d7%a4%d7%99-3/,,onsite,junior,huji
לאקווריום ישראל דרושים מדריכים,HUJI Career,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%9c%d7%90%d7%a7%d7%95%d7%95%d7%a8%d7%99%d7%95%d7%9d-%d7%99%d7%a9%d7%a8%d7%90%d7%9c-%d7%93%d7%a8%d7%95%d7%a9%d7%99%d7%9d-%d7%9e%d7%93%d7%a8%d7%99%d7%9b%d7%99%d7%9d/,,onsite,junior,huji
"דרוש/ה סטודנט/ית (ספורט נשים וספורט עממי) למינהל הספורט, ירושלים",HUJI Career,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%a1%d7%a4%d7%95%d7%a8%d7%98-%d7%a0%d7%a9%d7%99%d7%9d-%d7%95%d7%a1%d7%a4%d7%95%d7%a8%d7%98-%d7%a2%d7%9e%d7%9e%d7%99/,,onsite,junior,huji
דרוש/ה עובד/ת סוציאלי/ת לאגף שיקום נכים במשרד הביטחון מחוז ירושלים,לוגו משרד הביטחון,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%93%d7%a8%d7%95%d7%a9-%d7%94-%d7%a2%d7%95%d7%91%d7%93-%d7%aa-%d7%a1%d7%95%d7%a6%d7%99%d7%90%d7%9c%d7%99-%d7%aa-%d7%9c%d7%90%d7%92%d7%a3-%d7%a9%d7%99%d7%a7%d7%95%d7%9d-%d7%a0%d7%9b%d7%99%d7%9d/,,onsite,junior,huji
משרת סטודנט/ית מחלקת השקעות ברשות לניירות ערך,Logo_israel_securities_authority,תל אביב,2026-04-23,https://hujicareer.co.il/jobs/%d7%9e%d7%a9%d7%a8%d7%aa-%d7%a1%d7%98%d7%95%d7%93%d7%a0%d7%98-%d7%99%d7%aa-%d7%9e%d7%97%d7%9c%d7%a7%d7%aa-%d7%94%d7%a9%d7%a7%d7%a2%d7%95%d7%aa-%d7%91%d7%a8%d7%a9%d7%95%d7%aa-%d7%9c%d7%a0%d7%99%d7%99/,,onsite,junior,huji
Program and Operations Associate – Task Force on Arab Citizens of Israel,HUJI Career,מהבית,2026-04-23,https://hujicareer.co.il/jobs/program-and-operations-associate-task-force-on-arab-citizens-of-israel/,,remote,junior,huji
עוזר/ת למנהל/ת רשות - .B. Sc./M. Sc במדעי הטבע,c3,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%96%d7%a8-%d7%aa-%d7%9c%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%a8%d7%a9%d7%95%d7%aa-b-sc-m-sc-%d7%91%d7%9e%d7%93%d7%a2%d7%99-%d7%94%d7%98%d7%91%d7%a2/,,onsite,junior,huji
"מנהל/ת תחום חינוך ברשות לבטיחות בדרכים - משרה זמנית החלפה בחל""ד",download,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%aa%d7%97%d7%95%d7%9d-%d7%97%d7%99%d7%a0%d7%95%d7%9a-%d7%91%d7%a8%d7%a9%d7%95%d7%aa-%d7%9c%d7%91%d7%98%d7%99%d7%97%d7%95%d7%aa-%d7%91%d7%93%d7%a8%d7%9b%d7%99%d7%9d/,,onsite,junior,huji
"מנהל/ת תחום משאבי אנוש ברשות לבטיחות בדרכים - משרה זמנית החלפה בחל""ד",הרשות_הלאומית_לבטיחות_בדרכים,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%9e%d7%a0%d7%94%d7%9c-%d7%aa-%d7%aa%d7%97%d7%95%d7%9d-%d7%9e%d7%a9%d7%90%d7%91%d7%99-%d7%90%d7%a0%d7%95%d7%a9-%d7%91%d7%a8%d7%a9%d7%95%d7%aa-%d7%9c%d7%91%d7%98%d7%99%d7%97%d7%95%d7%aa-%d7%91%d7%93/,,onsite,junior,huji
רכז/ת אדמיניסטרטיבי/ת - האוניברסיטה העברית לנוער,HUJI Career,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%a8%d7%9b%d7%96-%d7%aa-%d7%90%d7%93%d7%9e%d7%99%d7%a0%d7%99%d7%a1%d7%98%d7%a8%d7%98%d7%99%d7%91%d7%99-%d7%aa-%d7%94%d7%90%d7%95%d7%a0%d7%99%d7%91%d7%a8%d7%a1%d7%99%d7%98%d7%94-%d7%94%d7%a2%d7%91-2/,,onsite,junior,huji
עובד/ת מעבדה - המחלקה לאימונולוגיה,HUJI Career,ירושלים,2026-04-23,https://hujicareer.co.il/jobs/%d7%a2%d7%95%d7%91%d7%93-%d7%aa-%d7%9e%d7%a2%d7%91%d7%93%d7%94-%d7%94%d7%9e%d7%97%d7%9c%d7%a7%d7%94-%d7%9c%d7%90%d7%99%d7%9e%d7%95%d7%a0%d7%95%d7%9c%d7%95%d7%92%d7%99%d7%94/,,onsite,junior,huji
